attendance_id,employee_id,attendance_date,hours_worked
69,489,2026-03-18 14:05:26.438654,6.0
70,759,2025-10-07 14:05:26.438659,9.0
71,832,2026-01-07 14:05:26.438663,7.0
72,568,2026-04-02 14:05:26.438668,2.0
73,973,2025-08-09 14:05:26.438673,8.0
74,439,2025-11-26 14:05:26.438678,10.0
75,720,2026-04-30 14:05:26.438682,0.0
76,538,2026-01-23 14:05:26.438687,10.0
77,297,2025-07-12 14:05:26.438692,0.0
78,379,2025-08-30 14:05:26.438700,5.0
79,64,2025-11-17 14:05:26.438705,10.0
80,778,2025-09-11 14:05:26.438709,0.0
81,611,2026-04-15 14:05:26.438713,6.0
82,311,2026-03-04 14:05:26.438718,9.0
83,196,2026-02-22 14:05:26.438722,
84,926,2025-08-09 14:05:26.438726,8.0
85,1144,2026-04-18 14:05:26.438731,5.0
86,223,2025-07-16 14:05:26.438736,4.0
87,753,2025-06-22 14:05:26.438740,
88,802,2025-11-20 14:05:26.438751,2.0
89,1054,2025-12-13 14:05:26.438754,9.0
90,1104,2025-11-18 14:05:26.438759,4.0
91,639,2026-06-07 14:05:26.438764,1.0
92,364,2025-09-20 14:05:26.438768,2.0
93,610,2026-02-14 14:05:26.438775,7.0
94,1132,2025-12-20 14:05:26.438782,10.0
95,541,2026-04-06 14:05:26.438787,5.0
96,406,2025-12-24 14:05:26.438792,0.0
97,1088,2026-04-21 14:05:26.438796,2.0
98,332,2026-01-20 14:05:26.438801,5.0
99,553,2025-08-07 14:05:26.438805,10.0
100,697,2025-08-18 14:05:26.438810,6.0
101,607,2026-06-05 14:05:26.438814,8.0
102,143,2025-09-23 14:05:26.438818,1.0
103,1102,2026-01-20 14:05:26.438822,3.0
104,75,2025-06-15 14:05:26.438828,10.0
105,850,2026-04-06 14:05:26.438832,6.0
106,604,2025-11-08 14:05:26.438837,6.0
107,615,2025-08-25 14:05:26.438843,9.0
108,546,2025-08-12 14:05:26.438848,1.0
109,764,2026-05-23 14:05:26.438852,10.0
110,729,2025-10-28 14:05:26.438858,8.0
111,98,2025-12-21 14:05:26.438863,10.0
112,606,2026-02-15 14:05:26.438868,3.0
113,970,2025-10-02 14:05:26.438873,6.0
114,1069,2025-11-11 14:05:26.438877,3.0
115,629,2025-10-21 14:05:26.438882,3.0
116,963,2026-04-02 14:05:26.438886,9.0
117,31,2025-06-27 14:05:26.438890,2.0
118,982,2026-05-07 14:05:26.438895,5.0
119,618,2025-09-01 14:05:26.438900,4.0
120,411,2026-04-01 14:05:26.438969,6.0
121,699,2026-04-13 14:05:26.438973,
122,587,2026-01-29 14:05:26.438979,3.0
123,526,2025-07-09 14:05:26.438983,3.0
124,841,2026-03-09 14:05:26.438987,2.0
125,872,2025-10-14 14:05:26.438992,3.0
126,915,2026-02-17 14:05:26.438997,9.0
127,783,2026-03-06 14:05:26.439001,8.0
128,837,2025-07-04 14:05:26.439005,6.0
129,495,2026-01-24 14:05:26.439009,6.0
130,37,2025-11-19 14:05:26.439016,3.0
10,707,2026-04-10 14:05:26.439020,4.0
132,58,2026-01-05 14:05:26.439025,10.0
133,741,2025-10-11 14:05:26.439029,1.0
134,542,2025-06-14 14:05:26.439033,0.0
135,830,2026-06-03 14:05:26.439038,0.0
136,67,2026-03-17 14:05:26.439043,9.0
137,199,2025-09-04 14:05:26.439048,1.0
138,268,2025-09-04 14:05:26.439053,7.0
139,386,2025-11-06 14:05:26.439057,8.0
140,884,2026-06-07 14:05:26.439061,
141,820,2026-05-28 14:05:26.439067,5.0
142,878,2026-03-04 14:05:26.439072,4.0
143,1062,2026-05-10 14:05:26.439076,4.0
144,457,2026-04-23 14:05:26.439081,8.0
145,1077,2026-04-20 14:05:26.439085,9.0
146,739,2026-01-07 14:05:26.439090,3.0
147,468,2025-09-24 14:05:26.439094,6.0
148,264,2025-10-30 14:05:26.439099,3.0
149,360,2026-04-04 14:05:26.439104,7.0
150,1187,2025-07-13 14:05:26.439112,4.0
151,1164,2025-09-30 14:05:26.439116,1.0
152,1144,2026-05-08 14:05:26.439131,6.0
153,581,2026-01-25 14:05:26.439135,5.0
154,585,2025-11-14 14:05:26.439140,10.0
155,587,2025-12-31 14:05:26.439148,5.0
156,153,2026-02-02 14:05:26.439152,2.0
157,706,2025-08-18 14:05:26.439157,1.0
158,791,2025-12-27 14:05:26.439162,4.0
159,228,2025-09-19 14:05:26.439167,2.0
160,467,2026-03-18 14:05:26.439172,7.0
161,550,2025-11-04 14:05:26.439177,6.0
162,587,2025-10-04 14:05:26.439182,4.0
163,143,2026-05-15 14:05:26.439186,2.0
164,719,2025-06-29 14:05:26.439190,6.0
52,423,2026-01-27 14:05:26.439195,2.0
166,1013,2026-06-04 14:05:26.439200,7.0
167,739,2025-09-07 14:05:26.439205,7.0
168,293,2025-08-19 14:05:26.439209,0.0
169,917,2026-01-02 14:05:26.439213,1.0
170,742,2025-11-04 14:05:26.439217,6.0
171,22,2026-05-25 14:05:26.439221,9.0
172,211,2026-06-01 14:05:26.439226,10.0
173,1018,2025-06-29 14:05:26.439230,10.0
174,1105,2026-01-29 14:05:26.439236,0.0
175,219,2025-07-21 14:05:26.439240,9.0
176,617,2025-08-12 14:05:26.439244,1.0
177,212,2025-06-19 14:05:26.439248,3.0
178,257,2025-12-04 14:05:26.439252,10.0
179,1138,2026-04-20 14:05:26.439257,0.0
180,1154,2025-11-02 14:05:26.439261,5.0
181,1136,2026-03-19 14:05:26.439265,1.0
182,566,2026-02-07 14:05:26.439269,9.0
183,853,2026-04-26 14:05:26.439273,9.0
184,334,2025-10-03 14:05:26.439278,2.0
110,71,2025-08-01 14:05:26.439281,6.0
186,224,2025-08-08 14:05:26.439286,2.0
187,1010,2026-04-19 14:05:26.439290,9.0
188,982,2026-05-17 14:05:26.439294,5.0
189,872,2025-08-24 14:05:26.439298,10.0
190,1090,2026-02-15 14:05:26.439303,8.0
191,187,2025-06-25 14:05:26.439306,4.0
192,617,2025-07-18 14:05:26.439311,9.0
193,235,2026-02-23 14:05:26.439315,10.0
194,44,2025-10-23 14:05:26.439319,2.0
195,1081,2026-02-03 14:05:26.439323,10.0
196,94,2025-09-01 14:05:26.439328,6.0
197,186,2026-01-23 14:05:26.439332,4.0
198,399,2025-12-06 14:05:26.439336,3.0
199,369,2026-06-03 14:05:26.439340,2.0
200,596,2025-11-29 14:05:26.439344,2.0
201,1064,2026-03-22 14:05:26.439348,
202,56,2026-01-01 14:05:26.439354,10.0
203,599,2025-08-04 14:05:26.439358,5.0
204,1183,2025-10-04 14:05:26.439362,5.0
205,842,2025-08-12 14:05:26.439366,4.0
206,505,2026-03-03 14:05:26.439371,0.0
207,304,2025-07-28 14:05:26.439375,4.0
208,799,2025-11-19 14:05:26.439379,9.0
209,589,2026-02-18 14:05:26.439383,6.0
210,1092,2025-09-19 14:05:26.439387,5.0
211,1153,2025-07-13 14:05:26.439391,9.0
212,221,2025-06-25 14:05:26.439395,6.0
213,92,2026-05-19 14:05:26.439399,6.0
214,256,2026-03-22 14:05:26.439404,
215,799,2025-12-12 14:05:26.439408,10.0
216,396,2026-04-21 14:05:26.439412,10.0
217,423,2025-08-31 14:05:26.439417,4.0
218,762,2026-05-31 14:05:26.439421,5.0
219,82,2026-04-17 14:05:26.439425,1.0
220,656,2025-10-14 14:05:26.439429,7.0
221,831,2025-09-21 14:05:26.439434,10.0
222,1096,2025-10-02 14:05:26.439438,
223,547,2025-12-05 14:05:26.439442,4.0
224,221,2025-08-22 14:05:26.439446,
225,803,2026-02-10 14:05:26.439451,10.0
226,731,2026-02-05 14:05:26.439456,6.0
227,703,2026-05-19 14:05:26.439461,8.0
228,132,2025-12-12 14:05:26.439465,6.0
229,521,2026-05-21 14:05:26.439470,3.0
230,92,2025-11-15 14:05:26.439474,4.0
231,606,2025-12-18 14:05:26.439479,4.0
232,1038,2026-01-18 14:05:26.439483,10.0
233,184,2025-07-22 14:05:26.439487,6.0
234,1075,2026-01-21 14:05:26.439495,6.0
235,781,2026-05-13 14:05:26.439500,8.0
236,569,2025-08-11 14:05:26.439504,10.0
237,821,2026-04-21 14:05:26.439509,2.0
238,773,2025-11-28 14:05:26.439514,6.0
239,59,2025-09-09 14:05:26.439518,7.0
240,1073,2026-06-02 14:05:26.439522,4.0
241,534,2025-10-11 14:05:26.439526,5.0
242,987,2025-10-31 14:05:26.439531,10.0
243,5,2025-09-02 14:05:26.439535,2.0
244,60,2026-04-16 14:05:26.439543,8.0
245,843,2026-02-05 14:05:26.439547,5.0
246,937,2026-04-25 14:05:26.439551,0.0
247,484,2025-08-18 14:05:26.439555,8.0
248,450,2026-01-22 14:05:26.439560,0.0
249,874,2025-06-15 14:05:26.439564,4.0
198,72,2026-04-14 14:05:26.439568,9.0
251,1033,2026-04-19 14:05:26.439573,5.0
252,280,2025-12-08 14:05:26.439578,5.0
253,549,2025-07-02 14:05:26.439582,7.0
254,88,2025-12-03 14:05:26.439586,7.0
255,1192,2026-05-14 14:05:26.439590,10.0
256,460,2025-06-23 14:05:26.439595,7.0
257,377,2025-06-16 14:05:26.439599,3.0
258,358,2025-07-24 14:05:26.439604,4.0
259,25,2026-06-06 14:05:26.439609,8.0
260,769,2026-05-01 14:05:26.439613,8.0
261,648,2025-07-21 14:05:26.439618,5.0
262,885,2025-09-27 14:05:26.439622,8.0
263,426,2025-06-23 14:05:26.439627,5.0
24,509,2025-09-01 14:05:26.441742,9.0
265,166,2026-02-19 14:05:26.441758,7.0
266,1110,2025-11-19 14:05:26.441762,0.0
267,954,2026-02-11 14:05:26.441768,3.0
268,361,2025-09-02 14:05:26.441773,4.0
269,396,2026-05-11 14:05:26.441776,6.0
270,314,2026-01-16 14:05:26.441788,4.0
271,909,2025-06-07 14:05:26.441792,5.0
272,19,2026-03-16 14:05:26.441796,5.0
273,717,2026-05-30 14:05:26.441800,8.0
274,342,2026-05-29 14:05:26.441803,1.0
275,624,2025-10-31 14:05:26.441807,10.0
276,153,2025-07-23 14:05:26.441825,10.0
277,913,2026-01-29 14:05:26.441829,1.0
278,1007,2026-01-12 14:05:26.441833,7.0
279,625,2026-03-07 14:05:26.441837,3.0
280,861,2026-06-02 14:05:26.441841,2.0
281,311,2026-01-14 14:05:26.441845,4.0
282,1000,2025-11-07 14:05:26.441849,
283,1040,2025-07-22 14:05:26.441854,10.0
284,844,2026-04-24 14:05:26.441858,4.0
285,252,2025-09-24 14:05:26.441862,9.0
286,118,2025-07-23 14:05:26.441866,5.0
287,1159,2026-03-03 14:05:26.441871,3.0
288,976,2026-02-10 14:05:26.441879,5.0
289,37,2026-06-02 14:05:26.441883,5.0
290,1044,2025-08-13 14:05:26.441887,8.0
291,278,2026-05-23 14:05:26.441891,3.0
292,873,2026-05-03 14:05:26.441895,3.0
293,475,2025-07-02 14:05:26.441900,1.0
294,597,2025-07-12 14:05:26.441904,1.0
295,417,2026-01-05 14:05:26.441948,8.0
296,519,2026-01-24 14:05:26.441953,1.0
297,403,2026-05-23 14:05:26.441957,3.0
298,131,2025-10-21 14:05:26.441961,7.0
299,635,2026-05-31 14:05:26.441966,10.0
300,364,2025-12-05 14:05:26.441970,5.0
301,86,2026-04-07 14:05:26.441974,6.0
302,604,2026-01-27 14:05:26.441979,0.0
303,272,2025-09-30 14:05:26.441983,8.0
304,1126,2026-03-25 14:05:26.441987,0.0
305,310,2026-02-20 14:05:26.441991,9.0
306,883,2025-11-09 14:05:26.441996,2.0
307,1006,2025-10-15 14:05:26.442001,0.0
308,184,2025-09-02 14:05:26.442008,3.0
30,820,2025-08-06 14:05:26.442012,2.0
310,969,2026-02-28 14:05:26.442020,0.0
311,1196,2026-05-25 14:05:26.442024,0.0
312,795,2025-09-07 14:05:26.442028,9.0
313,389,2025-06-15 14:05:26.442033,4.0
314,556,2025-07-23 14:05:26.442038,7.0
315,832,2025-11-21 14:05:26.442042,4.0
316,428,2026-01-30 14:05:26.442046,10.0
317,872,2025-06-23 14:05:26.442050,8.0
318,113,2025-10-08 14:05:26.442056,10.0
319,622,2026-03-30 14:05:26.442060,7.0
320,241,2026-05-25 14:05:26.442064,3.0
321,664,2025-10-31 14:05:26.442069,8.0
322,551,2026-03-30 14:05:26.442074,1.0
323,41,2025-06-10 14:05:26.442078,6.0
324,806,2025-12-11 14:05:26.442083,2.0
325,12,2026-05-10 14:05:26.442087,9.0
326,886,2026-05-20 14:05:26.442092,0.0
327,577,2025-08-13 14:05:26.442096,0.0
328,1040,2025-06-17 14:05:26.442100,3.0
329,133,2025-10-04 14:05:26.442105,7.0
330,20,2026-03-03 14:05:26.442110,10.0
331,400,2025-07-07 14:05:26.442114,7.0
332,149,2025-11-10 14:05:26.442118,7.0
333,209,2025-07-28 14:05:26.442122,4.0
334,426,2025-08-20 14:05:26.442126,3.0
335,166,2025-10-11 14:05:26.442131,5.0
336,1079,2026-02-24 14:05:26.442135,6.0
337,365,2025-12-05 14:05:26.442140,4.0
338,191,2026-05-13 14:05:26.442143,2.0
339,808,2026-02-24 14:05:26.442150,8.0
340,1127,2026-02-18 14:05:26.442156,6.0
341,983,2026-05-04 14:05:26.442161,7.0
342,956,2025-09-05 14:05:26.442165,10.0
343,94,2026-04-14 14:05:26.442170,1.0
344,588,2025-11-16 14:05:26.442174,5.0
345,1085,2026-02-17 14:05:26.442178,6.0
346,1078,2025-08-15 14:05:26.442183,
347,627,2026-05-16 14:05:26.442188,9.0
145,400,2025-10-31 14:05:26.442192,0.0
349,86,2025-06-17 14:05:26.442197,4.0
350,1040,2025-08-05 14:05:26.442201,1.0
351,312,2026-05-20 14:05:26.442208,0.0
352,483,2025-09-20 14:05:26.442213,5.0
353,28,2025-12-08 14:05:26.442217,4.0
354,658,2025-12-31 14:05:26.442225,1.0
355,314,2025-08-18 14:05:26.442230,1.0
356,188,2025-08-31 14:05:26.442235,7.0
357,106,2025-07-03 14:05:26.442239,1.0
358,652,2025-09-13 14:05:26.442243,3.0
359,44,2026-03-03 14:05:26.442247,3.0
360,757,2025-10-10 14:05:26.442251,9.0
361,220,2026-03-02 14:05:26.442255,6.0
362,238,2025-12-24 14:05:26.442260,10.0
363,819,2025-06-17 14:05:26.442264,8.0
364,52,2025-07-19 14:05:26.442269,1.0
365,221,2025-11-03 14:05:26.442273,4.0
71,797,2026-04-16 14:05:26.442277,0.0
367,914,2026-02-06 14:05:26.442281,0.0
368,1102,2025-10-23 14:05:26.442286,2.0
369,410,2026-05-02 14:05:26.442291,6.0
370,1058,2026-03-31 14:05:26.442295,3.0
371,156,2026-04-04 14:05:26.442302,4.0
372,1036,2025-11-14 14:05:26.442306,7.0
373,1156,2026-03-06 14:05:26.442310,
374,58,2025-07-15 14:05:26.442316,9.0
375,477,2025-11-21 14:05:26.442320,9.0
40,43,2025-08-16 14:05:26.442325,9.0
377,389,2026-02-09 14:05:26.442330,0.0
378,131,2025-09-20 14:05:26.442334,0.0
379,521,2026-05-30 14:05:26.442338,3.0
380,784,2026-05-04 14:05:26.442342,9.0
381,13,2026-04-23 14:05:26.442347,10.0
382,1062,2025-11-16 14:05:26.442351,4.0
383,1162,2026-05-01 14:05:26.442356,6.0
384,238,2026-04-15 14:05:26.442360,9.0
385,233,2026-05-12 14:05:26.442365,3.0
386,995,2025-10-05 14:05:26.442369,4.0
387,1094,2025-10-03 14:05:26.442373,8.0
388,1047,2026-03-24 14:05:26.442378,1.0
389,820,2025-12-01 14:05:26.442382,9.0
390,868,2026-01-19 14:05:26.442386,10.0
391,223,2026-03-09 14:05:26.442390,0.0
392,1144,2026-06-07 14:05:26.442395,
393,1192,2025-11-15 14:05:26.442400,2.0
394,346,2026-01-20 14:05:26.442405,1.0
395,973,2025-07-12 14:05:26.442411,9.0
396,628,2025-11-15 14:05:26.442417,3.0
397,977,2025-07-11 14:05:26.442422,7.0
398,43,2025-09-28 14:05:26.442427,3.0
399,52,2025-07-15 14:05:26.442431,3.0
400,677,2025-09-16 14:05:26.442435,3.0
401,380,2025-06-08 14:05:26.442440,1.0
402,620,2026-01-19 14:05:26.442448,7.0
171,49,2025-08-17 14:05:26.442456,6.0
404,130,2026-01-02 14:05:26.442460,0.0
405,323,2025-11-15 14:05:26.442465,6.0
406,1185,2026-04-20 14:05:26.442469,10.0
407,579,2025-07-25 14:05:26.442473,10.0
408,367,2025-07-24 14:05:26.442477,5.0
409,1044,2025-06-25 14:05:26.442482,4.0
410,365,2025-10-28 14:05:26.442486,6.0
411,926,2026-02-02 14:05:26.442490,3.0
412,554,2025-12-05 14:05:26.442494,4.0
413,726,2026-02-02 14:05:26.442498,9.0
414,603,2026-02-14 14:05:26.442502,8.0
415,922,2025-06-21 14:05:26.442507,8.0
416,812,2025-09-10 14:05:26.442514,1.0
417,745,2026-04-02 14:05:26.442519,4.0
418,444,2025-07-23 14:05:26.442523,6.0
419,1026,2025-12-16 14:05:26.442528,3.0
420,474,2026-03-07 14:05:26.442532,7.0
421,1143,2025-12-23 14:05:26.442536,9.0
422,64,2026-03-28 14:05:26.442541,7.0
423,422,2025-12-17 14:05:26.442545,4.0
424,801,2025-07-29 14:05:26.442549,6.0
425,943,2026-02-27 14:05:26.442553,3.0
161,82,2025-10-05 14:05:26.442558,1.0
427,385,2025-08-30 14:05:26.442562,1.0
428,167,2026-02-12 14:05:26.442567,6.0
429,37,2026-04-21 14:05:26.442571,8.0
430,332,2025-06-11 14:05:26.442576,5.0
431,196,2026-03-13 14:05:26.442580,3.0
432,1073,2026-03-25 14:05:26.442584,9.0
433,726,2026-02-14 14:05:26.442588,8.0
434,891,2025-10-16 14:05:26.442592,8.0
435,878,2026-02-09 14:05:26.442600,2.0
436,707,2025-08-10 14:05:26.442605,2.0
437,880,2026-04-15 14:05:26.442609,10.0
438,512,2025-11-14 14:05:26.442614,5.0
439,874,2025-08-11 14:05:26.442619,9.0
440,326,2025-12-30 14:05:26.442623,1.0
441,752,2026-01-24 14:05:26.442628,1.0
442,319,2026-05-03 14:05:26.442633,2.0
443,907,2026-03-30 14:05:26.442637,7.0
444,187,2026-05-04 14:05:26.442642,10.0
445,144,2026-01-26 14:05:26.442646,5.0
446,800,2025-07-27 14:05:26.442650,4.0
447,261,2026-03-15 14:05:26.442654,
448,694,2026-05-04 14:05:26.442659,5.0
449,73,2026-05-16 14:05:26.442663,4.0
450,659,2026-05-29 14:05:26.442667,3.0
451,954,2025-10-03 14:05:26.442672,3.0
452,1066,2026-03-01 14:05:26.442677,3.0
453,338,2026-03-09 14:05:26.442681,8.0
454,491,2026-01-11 14:05:26.442685,9.0
455,910,2025-08-25 14:05:26.442689,4.0
456,177,2026-02-07 14:05:26.442694,1.0
457,587,2025-10-30 14:05:26.442699,5.0
458,302,2025-10-03 14:05:26.442708,1.0
459,682,2026-03-24 14:05:26.442712,3.0
460,473,2025-09-05 14:05:26.442716,8.0
461,895,2025-06-15 14:05:26.442721,
462,1079,2026-04-25 14:05:26.442726,1.0
463,1048,2026-04-08 14:05:26.442730,3.0
464,941,2026-03-02 14:05:26.442734,1.0
465,966,2025-09-18 14:05:26.442739,4.0
466,491,2025-08-13 14:05:26.442748,4.0
467,161,2026-02-09 14:05:26.442752,4.0
468,1024,2025-12-27 14:05:26.442756,1.0
469,169,2025-10-18 14:05:26.442760,10.0
470,1073,2026-05-11 14:05:26.442764,3.0
471,938,2026-04-16 14:05:26.442769,6.0
472,515,2025-10-26 14:05:26.442773,
473,192,2025-10-25 14:05:26.442777,6.0
474,237,2025-11-25 14:05:26.442781,6.0
475,883,2026-04-19 14:05:26.442785,0.0
129,323,2025-08-19 14:05:26.442789,6.0
477,317,2025-06-28 14:05:26.442792,1.0
478,1047,2025-08-09 14:05:26.442797,7.0
479,970,2025-06-24 14:05:26.442802,2.0
480,515,2025-07-07 14:05:26.442809,6.0
481,863,2025-09-24 14:05:26.442813,2.0
482,64,2025-09-11 14:05:26.442818,10.0
483,674,2026-02-09 14:05:26.442823,1.0
484,487,2025-08-30 14:05:26.442826,4.0
485,990,2026-02-28 14:05:26.442831,4.0
486,675,2026-05-22 14:05:26.442836,4.0
487,904,2026-01-24 14:05:26.442841,6.0
488,1034,2025-12-27 14:05:26.442844,4.0
489,252,2026-01-04 14:05:26.442849,9.0
490,390,2025-07-28 14:05:26.442853,10.0
491,1027,2025-08-17 14:05:26.442859,1.0
492,355,2026-05-29 14:05:26.442863,4.0
493,713,2026-05-07 14:05:26.442868,3.0
494,93,2025-12-18 14:05:26.442873,1.0
495,976,2026-03-20 14:05:26.442877,4.0
496,144,2025-06-23 14:05:26.442881,6.0
26,150,2025-12-14 14:05:26.442885,0.0
168,401,2026-03-07 14:05:26.442892,0.0
499,47,2025-11-10 14:05:26.442897,5.0
500,507,2025-07-10 14:05:26.442901,2.0
501,483,2025-12-01 14:05:26.442975,8.0
502,344,2025-08-04 14:05:26.442980,4.0
503,206,2026-02-06 14:05:26.442985,7.0
504,172,2026-01-10 14:05:26.442992,6.0
505,551,2025-06-30 14:05:26.442996,3.0
506,988,2025-08-23 14:05:26.443000,9.0
507,105,2025-10-16 14:05:26.443004,2.0
508,761,2025-11-16 14:05:26.443008,2.0
131,6,2025-10-11 14:05:26.443014,2.0
510,203,2026-03-13 14:05:26.443018,1.0
511,730,2026-05-29 14:05:26.443022,6.0
512,172,2025-11-11 14:05:26.443026,8.0
513,1164,2026-05-19 14:05:26.443030,
514,1073,2025-10-01 14:05:26.443035,5.0
515,434,2025-12-16 14:05:26.443039,2.0
516,842,2026-04-04 14:05:26.443044,2.0
517,430,2025-10-03 14:05:26.443048,7.0
518,1087,2026-01-06 14:05:26.443052,6.0
519,50,2025-06-18 14:05:26.443056,4.0
520,560,2025-10-21 14:05:26.443061,2.0
521,747,2026-02-28 14:05:26.443065,1.0
522,725,2025-10-27 14:05:26.443074,7.0
523,758,2026-03-02 14:05:26.443079,9.0
524,1099,2026-01-14 14:05:26.443083,5.0
525,465,2026-01-07 14:05:26.443088,3.0
526,747,2025-10-17 14:05:26.443092,7.0
527,131,2026-03-05 14:05:26.443096,3.0
528,265,2025-10-22 14:05:26.443101,
529,369,2025-11-19 14:05:26.443105,8.0
530,197,2026-03-06 14:05:26.443116,1.0
531,40,2025-06-15 14:05:26.443120,10.0
532,790,2025-08-18 14:05:26.443125,7.0
533,1027,2025-11-23 14:05:26.443129,10.0
534,636,2026-05-10 14:05:26.443133,0.0
535,893,2026-05-20 14:05:26.443137,2.0
536,736,2025-09-25 14:05:26.443142,4.0
537,290,2026-05-18 14:05:26.443147,7.0
538,1157,2026-01-08 14:05:26.443151,0.0
123,1123,2026-03-06 14:05:26.443156,1.0
540,366,2025-12-12 14:05:26.443161,5.0
541,1199,2025-08-19 14:05:26.443165,0.0
542,554,2026-01-29 14:05:26.443169,5.0
543,1146,2026-04-30 14:05:26.443173,9.0
544,980,2026-02-15 14:05:26.443219,3.0
545,818,2025-08-14 14:05:26.443223,5.0
546,715,2025-08-07 14:05:26.443227,1.0
547,592,2025-09-26 14:05:26.443232,0.0
548,460,2025-07-22 14:05:26.443236,7.0
549,1064,2025-06-17 14:05:26.443240,
550,90,2025-08-08 14:05:26.443244,8.0
551,884,2026-02-26 14:05:26.443276,
552,754,2026-03-26 14:05:26.443281,0.0
553,500,2025-09-21 14:05:26.443285,1.0
554,399,2026-02-21 14:05:26.443290,1.0
555,113,2025-08-04 14:05:26.443295,2.0
556,928,2025-07-11 14:05:26.443299,8.0
557,728,2026-05-04 14:05:26.443303,6.0
558,579,2025-08-05 14:05:26.443308,2.0
559,220,2026-04-14 14:05:26.443312,9.0
560,1047,2026-05-07 14:05:26.443316,7.0
561,172,2026-01-12 14:05:26.443320,5.0
562,583,2025-11-09 14:05:26.443326,8.0
563,824,2026-05-03 14:05:26.443330,4.0
564,422,2025-08-12 14:05:26.443334,7.0
161,439,2026-03-23 14:05:26.443339,8.0
566,520,2025-12-21 14:05:26.443344,
567,686,2026-04-25 14:05:26.443349,2.0
568,1093,2026-02-24 14:05:26.443353,1.0
569,490,2025-11-22 14:05:26.443358,4.0
570,63,2025-06-21 14:05:26.443362,6.0
571,877,2025-07-31 14:05:26.443366,7.0
572,834,2026-02-22 14:05:26.443370,9.0
573,842,2025-06-17 14:05:26.443374,6.0
574,32,2025-10-10 14:05:26.443378,
575,668,2026-04-27 14:05:26.443382,10.0
576,824,2025-11-28 14:05:26.443386,2.0
577,791,2025-07-29 14:05:26.443390,2.0
578,826,2025-10-05 14:05:26.443394,9.0
579,698,2025-08-12 14:05:26.443398,9.0
580,1039,2025-11-23 14:05:26.443402,2.0
